order_id,product,category,quantity,unit_price,total,region,date
1,Laptop,Electronics,2,999.99,1999.98,North,2024-01-05
2,Desk Chair,Furniture,5,249.99,1249.95,South,2024-01-08
3,Monitor,Electronics,3,399.99,1199.97,East,2024-01-12
4,Keyboard,Electronics,10,79.99,799.90,West,2024-01-15
5,Bookshelf,Furniture,4,189.99,759.96,North,2024-01-18
6,Webcam,Electronics,7,129.99,909.93,South,2024-01-22
7,Standing Desk,Furniture,2,599.99,1199.98,East,2024-02-01
8,Headphones,Electronics,6,199.99,1199.94,West,2024-02-05
9,Lamp,Furniture,8,59.99,479.92,North,2024-02-10
10,Tablet,Electronics,4,449.99,1799.96,South,2024-02-14
11,Mouse,Electronics,15,39.99,599.85,East,2024-02-18
12,Sofa,Furniture,1,899.99,899.99,West,2024-02-22
13,Laptop,Electronics,3,999.99,2999.97,North,2024-03-01
14,Desk Chair,Furniture,6,249.99,1499.94,South,2024-03-05
15,Monitor,Electronics,4,399.99,1599.96,East,2024-03-10
